CpG_ID,spearman_corr,abs_corr
cg12934382,0.33573386919730397,0.33573386919730397
cg24466241,0.3238304797915337,0.3238304797915337
cg26792755,0.32303865498989753,0.32303865498989753
cg06784991,0.31818087039898973,0.31818087039898973
cg23606718,0.3175942364312977,0.3175942364312977
cg04592811,-0.3158391458798805,0.3158391458798805
cg05404236,0.3107266905711618,0.3107266905711618
cg16015712,0.3075859113107681,0.3075859113107681
cg21159778,0.3011430762823705,0.3011430762823705
cg12586150,-0.29934586530203094,0.29934586530203094
cg04100532,0.29889488022469,0.29889488022469
cg03070297,0.2982167707422139,0.2982167707422139
cg00884093,0.2973757010537008,0.2973757010537008
cg05304393,-0.2965183442258108,0.2965183442258108
cg12781700,0.2958370817757499,0.2958370817757499
cg12204732,0.29528172689197646,0.29528172689197646
cg19494591,-0.2946434867923668,0.2946434867923668
cg08642285,-0.293305844748155,0.293305844748155
cg12127472,0.2920760530945761,0.2920760530945761
cg10350689,-0.29180306028112313,0.29180306028112313
cg12948621,0.29036210255401146,0.29036210255401146
cg05280698,0.28991398971090254,0.28991398971090254
cg25984344,0.2895155824186036,0.2895155824186036
cg12024906,0.2894922256110693,0.2894922256110693
cg06525651,0.28939071957918483,0.28939071957918483
cg18795809,0.28833455444528494,0.28833455444528494
cg22158769,0.2880523715778203,0.2880523715778203
cg06574716,0.28803564834405243,0.28803564834405243
cg01470535,-0.28802070377236116,0.28802070377236116
cg11176990,0.28739061845602987,0.28739061845602987
cg06335143,0.2869326613427803,0.2869326613427803
cg15396686,0.28657897141816857,0.28657897141816857
cg04940570,0.2864791423643886,0.2864791423643886
cg18184411,0.28586782357667495,0.28586782357667495
cg03129384,0.285820700206873,0.285820700206873
cg01991967,-0.2851142810033454,0.2851142810033454
cg08571304,-0.2847731047503187,0.2847731047503187
cg13409449,0.2847591972031127,0.2847591972031127
cg04583195,-0.2845913979433832,0.2845913979433832
cg24834889,0.28423954081833486,0.28423954081833486
cg09253473,-0.2831989716712165,0.2831989716712165
cg07204479,-0.2829925847690057,0.2829925847690057
cg09490371,0.2829456028583197,0.2829456028583197
cg06856891,-0.2827285707467685,0.2827285707467685
cg19793376,0.28266792322659445,0.28266792322659445
cg13632816,0.2826387022278487,0.2826387022278487
cg16263367,0.28224038327200357,0.28224038327200357
cg07553761,0.28202462575160564,0.28202462575160564
cg07949597,0.2817770214030045,0.2817770214030045
cg24053748,0.28163760331403975,0.28163760331403975
cg04897683,0.2816249429831135,0.2816249429831135
cg19241878,-0.28149888651567306,0.28149888651567306
cg08640634,0.28149788998324027,0.28149788998324027
cg00664406,0.2814455931382075,0.2814455931382075
cg10192893,0.28140712792110545,0.28140712792110545
cg25352836,0.2812999214589085,0.2812999214589085
cg05349062,0.28125219330862555,0.28125219330862555
cg12940822,0.2811946752356524,0.2811946752356524
cg01447702,-0.28075869910264795,0.28075869910264795
cg16318271,0.28072943866145195,0.28072943866145195
cg18651026,-0.28059238236916173,0.28059238236916173
cg06268694,0.2804527259658579,0.2804527259658579
cg26844246,0.28024136146735956,0.28024136146735956
cg27176138,0.28018181455752633,0.28018181455752633
cg06469345,0.28008212718513437,0.28008212718513437
cg26092675,0.2799489614683782,0.2799489614683782
cg14327531,0.2798883012109774,0.2798883012109774
cg26638570,-0.27959004507130586,0.27959004507130586
cg14441976,0.279482641221055,0.279482641221055
cg13790603,0.2793898490708856,0.2793898490708856
cg18599069,0.2793000994801202,0.2793000994801202
cg13687570,0.2792945089874521,0.2792945089874521
cg16907558,0.2791212877472936,0.2791212877472936
cg24891133,0.27882770344654795,0.27882770344654795
cg01129238,-0.2786600640510508,0.2786600640510508
cg17293936,0.2786026798783685,0.2786026798783685
cg24754199,-0.27859817670035086,0.27859817670035086
cg09438147,0.27849409617535686,0.27849409617535686
cg13221458,-0.2784602442961732,0.2784602442961732
cg08204702,0.27822047955297835,0.27822047955297835
cg20809087,0.27812127167344874,0.27812127167344874
cg10008757,0.27811243545092573,0.27811243545092573
cg18448426,-0.2779144059419101,0.2779144059419101
cg11705975,0.2779086969875153,0.2779086969875153
cg01586506,0.27784099517661165,0.27784099517661165
cg06904408,-0.2777925949568123,0.2777925949568123
cg14022137,0.27776536279898334,0.27776536279898334
cg07641160,0.27772903162845153,0.27772903162845153
cg19846314,0.2777160796387054,0.2777160796387054
cg20765441,-0.27765019607659713,0.27765019607659713
cg22041640,0.27764551657251607,0.27764551657251607
cg06713632,0.2776106360321352,0.2776106360321352
cg18444544,-0.2776088390808073,0.2776088390808073
cg12206199,0.27760481873011894,0.27760481873011894
cg18368487,0.27757353663482903,0.27757353663482903
cg11671688,0.2774020385743844,0.2774020385743844
cg17333109,0.27737678809431476,0.27737678809431476
cg24938830,0.27732341070971955,0.27732341070971955
cg10751726,0.27707720687778,0.27707720687778
cg10762570,-0.2770670435302227,0.2770670435302227
cg00490655,0.27703265722564796,0.27703265722564796
cg07103493,0.27701093148557543,0.27701093148557543
cg23847712,0.27690288076012737,0.27690288076012737
cg06399302,0.27684774320313194,0.27684774320313194
cg13468041,-0.2768218498684405,0.2768218498684405
cg23248995,-0.27680821153970026,0.27680821153970026
cg17916490,0.27677899694699487,0.27677899694699487
cg25234732,0.2767459073895137,0.2767459073895137
cg10836392,0.27673115447500773,0.27673115447500773
cg04983516,0.27671086086429425,0.27671086086429425
cg04965987,0.2766844479450216,0.2766844479450216
cg11970349,0.27661327664210905,0.27661327664210905
cg21578207,-0.2763297310826948,0.2763297310826948
